"lng","lat"
-70.974998,-33.824999
-70.924998,-33.824999
-70.874998,-33.824999
-70.824998,-33.824999
-70.774998,-33.824999
-70.724998,-33.824999
-70.674998,-33.824999
-70.624998,-33.824999
-70.574998,-33.824999
-70.524998,-33.824999
-70.474998,-33.824999
-70.424998,-33.824999
-70.374998,-33.824999
-70.324998,-33.824999
-70.274998,-33.824999
-70.224998,-33.824999
-70.174998,-33.824999
-70.124998,-33.824999
-70.074998,-33.824999
-70.024998,-33.824999
-69.974998,-33.824999
-69.924998,-33.824999
-71.374998,-33.774999
-71.324998,-33.774999
-71.274998,-33.774999
-71.224998,-33.774999
-71.174998,-33.774999
-71.124998,-33.774999
-71.074998,-33.774999
-71.024998,-33.774999
-70.974998,-33.774999
-70.924998,-33.774999
-70.874998,-33.774999
-70.824998,-33.774999
-70.774998,-33.774999
-70.724998,-33.774999
-70.674998,-33.774999
-70.624998,-33.774999
-70.574998,-33.774999
-70.524998,-33.774999
-70.474998,-33.774999
-70.424998,-33.774999
-70.374998,-33.774999
-70.324998,-33.774999
-70.274998,-33.774999
-70.224998,-33.774999
-70.174998,-33.774999
-70.124998,-33.774999
-70.074998,-33.774999
-70.024998,-33.774999
-69.974998,-33.774999
-69.924998,-33.774999
-71.374998,-33.724999
-71.324998,-33.724999
-71.274998,-33.724999
-71.224998,-33.724999
-71.174998,-33.724999
-71.124998,-33.724999
-71.074998,-33.724999
-71.024998,-33.724999
-70.974998,-33.724999
-70.924998,-33.724999
-70.874998,-33.724999
-70.824998,-33.724999
-70.774998,-33.724999
-70.724998,-33.724999
-70.674998,-33.724999
-70.624998,-33.724999
-70.574998,-33.724999
-70.524998,-33.724999
-70.474998,-33.724999
-70.424998,-33.724999
-70.374998,-33.724999
-70.324998,-33.724999
-70.274998,-33.724999
-70.224998,-33.724999
-70.174998,-33.724999
-70.124998,-33.724999
-70.074998,-33.724999
-70.024998,-33.724999
-69.974998,-33.724999
-69.924998,-33.724999
-69.874998,-33.724999
-71.424998,-33.674999
-71.374998,-33.674999
-71.324998,-33.674999
-71.274998,-33.674999
-71.224998,-33.674999
-71.174998,-33.674999
-71.124998,-33.674999
-71.074998,-33.674999
-71.024998,-33.674999
-70.974998,-33.674999
-70.924998,-33.674999
-70.874998,-33.674999
-70.824998,-33.674999
-70.774998,-33.674999
-70.724998,-33.674999
-70.674998,-33.674999
-70.624998,-33.674999
-70.574998,-33.674999
-70.524998,-33.674999
-70.474998,-33.674999
-70.424998,-33.674999
-70.374998,-33.674999
-70.324998,-33.674999
-70.274998,-33.674999
-70.224998,-33.674999
-70.174998,-33.674999
-70.124998,-33.674999
-70.074998,-33.674999
-70.024998,-33.674999
-69.974998,-33.674999
-69.924998,-33.674999
-71.374998,-33.624999
-71.324998,-33.624999
-71.274998,-33.624999
-71.224998,-33.624999
-71.174998,-33.624999
-71.124998,-33.624999
-71.074998,-33.624999
-71.024998,-33.624999
-70.974998,-33.624999
-70.924998,-33.624999
-70.874998,-33.624999
-70.824998,-33.624999
-70.774998,-33.624999
-70.724998,-33.624999
-70.674998,-33.624999
-70.624998,-33.624999
-70.574998,-33.624999
-70.524998,-33.624999
-70.474998,-33.624999
